City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
91,Auki,SB,76.55,few clouds,-8.7676,160.7034,Auki Motel
93,Lata,PT,73.08,clear sky,40.1629,-8.3327,Casa Maquia
97,Castro,BR,74.14,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
101,Kavieng,PG,82.11,broken clouds,-2.5744,150.7967,Nusa Island Retreat
102,Grand-Santi,GF,85.91,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
104,Hasaki,JP,75.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
108,Dhidhdhoo,MV,81.36,overcast clouds,6.8833,73.1,Dhidhoo beach
111,Manica,FR,71.69,overcast clouds,49.0,-1.1667,Gite Lily
115,Caravelas,BR,75.2,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
118,Inongo,CD,70.27,overcast clouds,-1.95,18.2667,Hotel Du Lac
127,Victoria,HK,88.18,clear sky,22.2855,114.1577,Mini Central
129,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
131,Monte Carmelo,BR,80.71,clear sky,-18.7247,-47.4986,Park hotel
133,Sukumo,JP,74.39,overcast clouds,32.9333,132.7333,Sukumojo
136,Labuhan,ID,73.04,overcast clouds,-6.8844,112.2051,DoubleFAG
138,Bereda,ES,75.42,clear sky,43.2686,-7.5406,Pazo de Verdes
140,Chapais,CA,74.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
145,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
146,Namatanai,PG,78.64,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
147,Diego De Almagro,CL,70.86,clear sky,-26.3667,-70.05,hotel luna del desierto
148,Acarau,BR,84.83,broken clouds,-2.8856,-40.12,castelo pizzaria
149,Gizo,SB,81.52,light rain,-8.103,156.8419,Imagination Island
150,Salto,UY,74.44,scattered clouds,-31.3833,-57.9667,Gran Hotel Uruguay
154,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
155,Awjilah,LY,89.13,clear sky,29.1081,21.2869,المنزل
159,Pentecoste,BR,87.66,overcast clouds,-3.7928,-39.2703,Motel Big love
166,Sakaiminato,JP,76.98,broken clouds,35.55,133.2333,Italian pasley
168,Mahibadhoo,MV,82.26,broken clouds,3.7833,72.9667,Omadhoo Inn
169,Dunn,US,77.04,clear sky,44.95,-91.8835,Cedar Falls Acres
